ParticipantNumber,Condition,Speaker,Date,RA,competent,thoughtful,intelligent,like,positive_impression,negative_impression,hire,age,gender,ethnicity,English,cond2,negimpressionR,intellect,impression,speaker_age,speaker_gender,video,audio,transcript,meanhire,meanintellect,meanimpression,centhire,centintellect,centimpression
41,audio,14,2013-12-28,TK&JO,0,3,1,4,4,3,4,23,0,white,1,2,7,1.3333333333333333,5,28,0,0,1,0,2.6666666666666665,-0.5925925925925926,4.407407407407407,1.3333333333333335,1.9259259259259258,0.5925925925925926
44,transcript,18,2013-12-28,TK&JO,2,2,2,7,7,2,5,27,1,caucasian,1,3,8,2,7.333333333333333,27,0,0,0,1,4.111111111111111,0.8518518518518519,5.666666666666667,0.8888888888888893,1.1481481481481481,1.666666666666666
45,audio,10,2013-12-28,TK&JO,3,4,2,7,7,2,7,18,0,white,1,2,8,3,7.333333333333333,28,0,0,1,0,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,4.222222222222222,3,1.8888888888888884
48,audio,19,2013-12-28,TK&JO,3,0,2,1,1,5,2,19,0,,0,2,5,1.6666666666666667,2.3333333333333335,32,1,0,1,0,4.222222222222222,1.5185185185185182,5.851851851851851,-2.2222222222222223,0.14814814814814858,-3.5185185185185177
49,transcript,13,2013-12-28,TK&JO,-2,-1,-3,7,6,2,4,19,1,,0,3,8,-2,7,24,1,0,0,1,6,1.6481481481481481,7.296296296296297,-2,-3.648148148148148,-0.2962962962962967
50,transcript,14,2013-12-28,TK&JO,0,1,1,5,6,1,6,28,0,American-Indian,1,3,9,0.6666666666666666,6.666666666666667,28,0,0,0,1,2.6666666666666665,-0.5925925925925926,4.407407407407407,3.3333333333333335,1.259259259259259,2.2592592592592595
51,audio,4,2013-12-28,TK&JO,0,0,0,5,5,5,5,50,0,caucasian,1,2,5,0,5,27,0,0,1,0,3.6666666666666665,0.5185185185185185,5,1.3333333333333335,-0.5185185185185185,0
52,audio,9,2013-12-28,TK&JO,4,4,5,5,8,3,8,18,1,,1,2,7,4.333333333333333,6.666666666666667,28,1,0,1,0,4.875,1.0740740740740742,5.648148148148149,3.125,3.2592592592592586,1.0185185185185182
54,audio,15,2013-12-28,TK&JO,-1,1,-1,3,3,3,3,44,1,caucasian,1,2,7,-0.3333333333333333,4.333333333333333,28,1,0,1,0,2.111111111111111,-0.8888888888888888,3.9259259259259256,0.8888888888888888,0.5555555555555556,0.40740740740740744
55,transcript,18,2013-12-28,TK&JO,-2,0,-3,3,3,2,0,55,0,white,1,3,8,-1.6666666666666667,4.666666666666667,27,0,0,0,1,4.111111111111111,0.8518518518518519,5.666666666666667,-4.111111111111111,-2.5185185185185186,-1
57,audio,6,2013-12-28,TK&JO,-3,-2,0,2,4,3,2,28,1,white,1,2,7,-1.6666666666666667,4.333333333333333,29,1,0,1,0,3.3333333333333335,-0.7083333333333333,4.851851851851852,-1.3333333333333335,-0.9583333333333335,-0.518518518518519
60,transcript,13,2013-12-28,TK&JO,3,3,3,8,8,0,8,48,0,white,1,3,10,3,8.666666666666666,24,1,0,0,1,6,1.6481481481481481,7.296296296296297,2,1.3518518518518519,1.3703703703703694
61,audio,16,2013-12-28,TK&JO,3,3,2,7,7,1,7,44,1,caucasian,1,2,9,2.6666666666666665,7.666666666666667,28,1,0,1,0,5.222222222222222,2.111111111111111,5.777777777777778,1.7777777777777777,0.5555555555555554,1.8888888888888893
63,audio,20,2013-12-28,TK&JO,3,4,4,8,8,1,7,48,1,white,1,2,9,3.6666666666666665,8.333333333333334,27,0,0,1,0,5.375,1.5555555555555556,5.888888888888889,1.625,2.1111111111111107,2.4444444444444446
64,audio,12,2013-12-28,TK&JO,3,4,4,8,8,0,8,24,0,caucasian,1,2,10,3.6666666666666665,8.666666666666666,28,0,0,1,0,3.888888888888889,0.2962962962962962,5.999999999999999,4.111111111111111,3.3703703703703702,2.666666666666667
66,audio,13,2013-12-28,TK&JO,3,1,0,8,8,0,5,46,0,Asian,1,2,10,1.3333333333333333,8.666666666666666,24,1,0,1,0,6,1.6481481481481481,7.296296296296297,-1,-0.3148148148148149,1.3703703703703694
67,audio,3,2013-12-28,TK&JO,3,3,4,6,6,2,6,38,1,caucasian,1,2,8,3.3333333333333335,6.666666666666667,26,0,0,1,0,6.375,1.5925925925925926,7.222222222222222,-0.375,1.740740740740741,-0.5555555555555554
69,transcript,8,2013-12-28,TK&JO,-1,3,-2,5,5,2,2,19,1,Asian,1,3,8,0,6,29,0,0,0,1,3,-1,4.7407407407407405,-1,1,1.2592592592592595
71,audio,19,2013-12-28,TK&JO,3,3,0,5,5,0,2,23,1,English,1,2,10,2,6.666666666666667,32,1,0,1,0,4.222222222222222,1.5185185185185182,5.851851851851851,-2.2222222222222223,0.48148148148148184,0.8148148148148158
74,audio,4,2013-12-28,TK&JO,2,1,-1,2,2,5,3,20,0,caucasian,1,2,5,0.6666666666666666,3,27,0,0,1,0,3.6666666666666665,0.5185185185185185,5,-0.6666666666666665,0.14814814814814814,-2
76,audio,17,2013-12-28,TK&JO,-1,-3,-2,5,4,3,3,31,0,caucasian/W. European,1,2,7,-2,5.333333333333333,30,0,0,1,0,2.7777777777777777,-1.1851851851851851,3.962962962962963,0.22222222222222232,-0.8148148148148149,1.3703703703703702
77,audio,9,2013-12-28,TK&JO,1,1,2,5,5,2,5,53,1,white,1,2,8,1.3333333333333333,6,28,1,0,1,0,4.875,1.0740740740740742,5.648148148148149,0.125,0.2592592592592591,0.3518518518518512
78,audio,7,2013-12-28,TK&JO,5,3,3,8,8,0,8,59,0,caucasian,0,2,10,3.6666666666666665,8.666666666666666,26,0,0,1,0,4.333333333333333,0.6666666666666665,6.37037037037037,3.666666666666667,3,2.296296296296296
80,transcript,7,2013-12-28,TK&JO,-1,2,0,2,4,2,2,45,0,white,1,3,8,0.3333333333333333,4.666666666666667,26,0,0,0,1,4.333333333333333,0.6666666666666665,6.37037037037037,-2.333333333333333,-0.3333333333333332,-1.7037037037037033
81,transcript,5,2013-12-28,TK&JO,-3,-3,-3,0,1,6,2,20,0,Asian/white,1,3,4,-3,1.6666666666666667,31,1,0,0,1,4.666666666666667,0.48148148148148157,5.962962962962964,-2.666666666666667,-3.4814814814814814,-4.296296296296297
82,transcript,17,2013-12-28,TK&JO,-5,-5,-5,0,0,10,0,48,0,Hispanic,0,3,0,-5,0,30,0,0,0,1,2.7777777777777777,-1.1851851851851851,3.962962962962963,-2.7777777777777777,-3.814814814814815,-3.962962962962963
83,audio,18,2013-12-28,TK&JO,1,0,0,6,7,0,7,41,1,caucasian,1,2,10,0.3333333333333333,7.666666666666667,27,0,0,1,0,4.111111111111111,0.8518518518518519,5.666666666666667,2.8888888888888893,-0.5185185185185186,2
84,audio,10,2013-12-28,TK&JO,0,0,1,2,2,2,2,56,1,caucasian,1,2,8,0.3333333333333333,4,28,0,0,1,0,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,-0.7777777777777777,0.33333333333333337,-1.4444444444444446
85,transcript,10,2013-12-28,TK&JO,-3,-3,-3,0,2,3,1,53,0,white,1,3,7,-3,3,28,0,0,0,1,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,-1.7777777777777777,-3,-2.4444444444444446
86,transcript,9,2013-12-28,TK&JO,-3,-4,-4,0,0,10,0,56,1,caucasian,1,3,0,-3.6666666666666665,0,28,1,0,0,1,4.875,1.0740740740740742,5.648148148148149,-4.875,-4.7407407407407405,-5.648148148148149
88,audio,5,2013-12-29,TK&JO,0,0,-1,7,6,0,5,31,0,white,1,2,10,-0.3333333333333333,7.666666666666667,31,1,0,1,0,4.666666666666667,0.48148148148148157,5.962962962962964,0.33333333333333304,-0.8148148148148149,1.7037037037037033
