Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Acuna Jr., R",ATL,Outfield,LF,111,433,78,127,26,4,26,64,45,123
"Reyes, P",PIT,Outfield,LF,18,58,9,17,2,0,3,7,5,11
"Urena, R",TOR,Infield,SS,40,99,10,29,4,0,1,6,7,32
"Casali, C",CIN,Battery,C,52,140,15,41,10,0,4,16,12,32
"Peralta, D",ARI,Outfield,LF,146,560,75,164,25,5,30,87,48,124
"Williams, M",CIN,Outfield,RF,51,123,10,36,5,1,2,6,7,29
"Simmons, A",LAA,Infield,SS,146,554,68,162,26,5,11,75,35,44
"Smith, K",LAA,Battery,C,52,171,21,50,6,0,3,21,10,18
"Soto, J",WSH,Outfield,LF,116,414,77,121,25,1,22,70,79,99
"Story, T",COL,Infield,SS,157,598,88,174,42,6,37,108,47,168
"Blackmon, C",COL,Outfield,CF,156,626,119,182,31,7,29,70,59,134
"Gurriel, Y",HOU,Infield,1B,136,537,70,156,33,1,13,85,23,63
"Baez, J",CHC,Infield,2B,160,606,101,176,40,9,34,111,29,167
"Lorenzen, M",CIN,Battery,P,54,31,5,9,1,0,4,10,2,9
"McGuire, R",TOR,Battery,C,14,31,5,9,3,0,2,4,2,9
"Benintendi, A",BOS,Outfield,LF,148,579,103,168,41,6,16,87,71,106
"Goldschmidt, P",ARI,Infield,1B,158,593,95,172,35,5,33,83,90,173
"Kemp, M",LAD,Outfield,LF,146,462,62,134,25,0,21,85,36,115
"Bogaerts, X",BOS,Infield,SS,136,513,72,148,45,3,23,103,55,102
"Laureano, R",OAK,Outfield,RF,48,156,27,45,12,1,5,19,16,50
"Robles, V",WSH,Outfield,CF,21,59,8,17,3,1,3,10,4,12
"Polanco, J",MIN,Infield,SS,77,302,38,87,18,3,6,42,25,62
"Rosario, E",MIN,Outfield,LF,138,559,87,161,31,2,24,77,30,104
"Peraza, J",CIN,Infield,SS,157,632,85,182,31,4,14,58,29,75
"Meadows, A",TB,Outfield,CF,59,178,19,51,9,2,6,17,10,40
"Bregman, A",HOU,Infield,3B,157,594,105,170,51,1,31,103,96,85
"Almora Jr., A",CHC,Outfield,CF,152,444,62,127,24,1,5,41,24,83
"Diaz, E",PIT,Battery,C,82,252,33,72,12,0,10,34,21,40
"Garcia, A",SF,Battery,C,19,63,8,18,1,0,4,9,2,31
"Reed, M",ATL,Outfield,CF,7,7,1,2,0,0,0,0,0,3
"Ohtani, S",LAA,Battery,P,104,326,59,93,21,2,22,61,37,102
"Haniger, M",SEA,Outfield,RF,157,596,90,170,38,4,26,93,70,148
"Votto, J",CIN,Infield,1B,145,503,67,143,28,2,12,67,108,101
"Parra, G",COL,Outfield,LF,142,401,52,114,17,0,6,53,32,75
"Posey, B",SF,Battery,C,105,398,47,113,22,1,5,41,45,53
"Perez, M",TB,Battery,C,24,74,9,21,5,0,1,11,3,19
"Pearce, S",BOS,Infield,1B,76,215,35,61,14,1,11,42,29,41
"Holliday, M",COL,Outfield,LF,25,53,3,15,2,0,2,3,12,18
"Suarez, E",CIN,Infield,3B,143,527,79,149,22,2,34,104,64,142
"Rizzo, A",CHC,Infield,1B,153,566,74,160,29,1,25,101,70,80
"Mauer, J",MIN,Infield,1B,127,486,64,137,27,1,6,48,51,86
"Gurriel Jr., L",TOR,Infield,2B,65,249,30,70,8,0,11,35,9,59
"Jones, A",BAL,Outfield,CF,145,580,54,163,35,0,15,63,24,93
"Ozuna, M",STL,Outfield,LF,148,582,69,163,16,2,23,88,38,110
"Cabrera, M",CLE,Outfield,RF,78,250,28,70,17,0,6,39,20,38
"Torreyes, R",NYY,Infield,2B,41,100,9,28,7,1,0,7,2,16
"Reyes, F",SD,Outfield,RF,87,261,36,73,9,0,16,31,24,80
"LaMarre, R",CWS,Outfield,CF,76,165,15,46,11,0,2,18,10,53
"Judge, A",NYY,Outfield,RF,112,413,77,115,22,0,27,67,76,152
"Castro, S",MIA,Infield,2B,154,593,76,165,32,2,12,54,48,124
"Chapman, M",OAK,Infield,3B,145,547,100,152,42,6,24,68,58,146
"Adames, W",TB,Infield,SS,85,288,43,80,7,0,10,34,31,95
"Marte, S",PIT,Outfield,CF,145,559,81,155,32,5,20,72,35,109
"Holt, B",BOS,Infield,2B,109,321,41,89,18,2,7,46,37,73
"Moran, C",PIT,Infield,3B,144,415,49,115,19,1,11,58,39,82
"Lindor, F",CLE,Infield,SS,158,661,129,183,42,2,38,92,70,107
"Frazier, A",PIT,Infield,2B,113,318,52,88,23,2,10,35,29,53
"Realmuto, J",MIA,Battery,C,125,477,74,132,30,3,21,74,38,104
"Gonzalez, C",COL,Outfield,RF,132,463,71,128,32,4,16,64,37,113
"Munoz, Y",STL,Infield,SS,108,293,39,81,16,0,8,42,30,71
"Mondesi, A",KC,Infield,SS,75,275,47,76,13,3,14,37,11,77
"White, T",HOU,Infield,1B,66,210,27,58,12,3,12,42,24,49
"Sanchez, A",WSH,Infield,SS,28,58,8,16,2,1,0,3,1,8
"LeMahieu, D",COL,Infield,2B,128,533,90,147,32,2,15,62,37,82
"Pham, T",TB,Outfield,CF,137,494,102,136,18,6,21,63,67,140
"Hampson, G",COL,Infield,2B,24,40,3,11,3,1,0,4,7,12
"Narvaez, O",CWS,Battery,C,97,280,30,77,14,1,9,30,38,65
