type,color
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
peanut,not blue
