age,nationality,sex,guess
19,Belgisch,M,25
18,Belg,M,20
17,Belg,M,39
18,Belg,M,35
18,Belg,M,60
21,Nederlandse,M,10
18,Belg,M,30
16,Belg,M,4
18,Belg,M,20
19,Belg,M,12
18,belg,M,50
18,Belg,M,20
18,Belg,M,25
18,Belg,M,45
18,Belg,M,22
18,Belg,M,10
19,belg,M,55
17,Belg,M,30
18,belg,M,20
18,Belg,M,40
18,Belg,M,12
19,Belg,M,5
18,Belg,M,35
19,Duits,M,35
18,Belg,M,5
18,Belg,M,60
19,Belg,M,20
18,Belg,M,30
20,Belg,M,50
18,Belg,M,54
19,Belg,M,5
18,Belg,M,20
18,Belg,M,15
18,Belg,M,10
18,Belg,M,50
18,Belg,M,10
17,Belg,M,3
19,Belg,M,10
18,belg,M,20
20,belgischvlaams,M,18
18,belg,M,10
19,Belg,M,5
18,Belg,M,40
19,Belg,M,5
18,Belg,M,21
18,Belg,M,20
19,Nederlandse,M,10
16,Belg,M,10
18,Belg,M,40
18,belg,M,13
18,Belg,M,2
19,belg,M,35
18,belg,M,20
19,Belg,M,25
18,belg,M,15
19,Bulgaars,M,50
18,Belg,M,40
18,Belg,M,20
18,Belg,M,25
18,Nederlands,M,45
18,Belg,M,2
19,Belg,M,4
22,Nederlandse,M,25
18,Belg,M,30
20,Belg,M,26
18,Belg,M,87
19,Belg,M,35
19,Belgische,M,20
19,belg,M,45
18,Belg,M,30
18,Belg,M,60
18,Belg,M,40
18,Belg,M,7
18,Belg,M,20
26,Belg,M,10
38,Belg,M,2
18,belgische,M,16
18,Belg,M,53
18,Belg,M,60
18,Belg,M,30
18,Belg,M,30
18,Belg,M,20
18,Slowaaks,M,10
18,nederlands,M,8
18,Belg,M,50
18,Belg,M,50
19,Belg,M,60
18,Belg,M,50
35,Belg,M,6
18,Belg,M,30
18,Belgische,M,20
19,Belg,M,55
20,Belg,M,32
18,BELG,M,60
18,Belg,M,30
18,Nederlands,M,61
18,belgië,M,45
18,Belg,M,10
20,belg,M,20
18,Belg,M,60
18,Belg,M,10
18,belg,M,15
18,Belg,M,20
18,belg,M,15
19,Belg,M,10
19,Belg,M,50
18,Belg,M,65
19,Belg,M,20
20,Duits,M,45
21,Belg,M,30
18,Belg,M,5
18,belg,M,16
18,Belg,M,30
18,Belgisch,M,30
24,nederlands,M,30
18,Belg,M,5
19,Belg,M,10
18,Belg,M,30
18,Belg,M,5
18,Belg,M,20
18,Belg,M,30
17,Belgisch,M,40
18,Belg,M,20
18,Belg,M,40
18,Belg,M,40
19,Belgisch,M,30
18,Belg,M,70
22,nederlands,M,25
17,Spanje,M,34
18,Belg,M,40
18,Belg,M,60
17,Belg,M,40
18,Belg,M,40
18,Belg,M,45
18,Belg,M,60
18,Belg,M,30
18,Belg,M,33
20,belg,M,25
18,belg,M,42
18,Belg,M,29
18,belgisch,M,40
18,Belg,M,30
18,Belg,M,8
18,Belg,M,12
18,Belg,M,26
18,Belg,M,33
18,Nederlands,M,30
18,belg,M,20
18,Belg,M,55
18,Belg,M,40
18,Belg,M,53
18,Belg,M,65
17,Belg,M,5
18,Belg,M,70
18,Belg,M,30
18,Belg,M,50
18,Belgisch,M,5
